"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"A1";"Arduino_Nano";1;"Arduino_Nano_v3.x";;;
2;"BZ1";"Buzzer_12x9.5RM7.6";1;"Buzzer";;;
3;"C1";"CP_Radial_D6.3mm_P2.50mm";1;"470u";;;
4;"C2, C3, C4, C5, C6, C7";"C_Disc_D4.7mm_W2.5mm_P5.00mm";6;"100n";;;
5;"D1, D3, D4";"LED_D5.0mm";3;"LED";;;
6;"D2";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"D_Schottky";;;
7;"J1";"Molex_Micro-Latch_53254-0270_1x02_P2.00mm_Horizontal";1;"Conn_01x02_Socket";;;
8;"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";11;"1K";;;
9;"SW1";"spdt_slide_switch";1;"SW_SPDT";;;
10;"SW2, SW3, SW4, SW5, SW6, SW7";"SW_PUSH_6mm";6;"SW_Push";;;
11;"U1";"DIP-8_W7.62mm";1;"NE555P";;;
12;"U2";"i2c_oled_module";1;"I2C_OLED_MODULE";;;
